sessionId,label,timestamp,accX,accY,accZ,rotX,rotY,rotZ
session_20260414_152212_047,uppercut,23436.1995,-0.764957,-0.307977,0.356560,-1.569942,0.143270,-2.131006
session_20260414_152212_047,uppercut,23436.2194,-0.831528,-0.301458,0.367041,-1.978286,0.298712,-2.503178
session_20260414_152212_047,uppercut,23436.2393,-0.847096,-0.323360,0.366888,-2.411200,0.417250,-2.922376
session_20260414_152212_047,uppercut,23436.2592,-0.819518,-0.324635,0.398196,-3.086402,0.564774,-3.305056
session_20260414_152212_047,uppercut,23436.2791,-0.799077,-0.323636,0.366894,-3.552348,0.776346,-3.650153
session_20260414_152212_047,uppercut,23436.2990,-0.782435,-0.224724,0.239371,-3.485082,1.091436,-3.855615
session_20260414_152212_047,uppercut,23436.3189,-0.712277,-0.085263,0.177283,-3.243913,1.325726,-3.975674
session_20260414_152212_047,uppercut,23436.3387,-0.596886,-0.026636,0.180937,-3.504513,1.577739,-4.129054
session_20260414_152212_047,uppercut,23436.3586,-0.481058,-0.149898,0.285103,-4.389162,1.783621,-4.469097
session_20260414_152212_047,uppercut,23436.3785,-0.422503,-0.161070,0.350205,-5.305673,2.082384,-4.799195
session_20260414_152212_047,uppercut,23436.3984,-0.450283,0.104498,0.281837,-5.381442,2.612011,-4.767849
session_20260414_152212_047,uppercut,23436.4183,-0.409305,0.471257,0.193586,-4.297245,3.125018,-4.491575
session_20260414_152212_047,uppercut,23436.4382,-0.261728,0.577649,0.199811,-3.456276,3.390748,-4.321427
session_20260414_152212_047,uppercut,23436.4581,-0.168870,0.468668,0.402654,-3.443794,3.412229,-4.350063
session_20260414_152212_047,uppercut,23436.4780,-0.107621,0.436982,0.422404,-3.625581,3.550295,-4.351595
session_20260414_152212_047,uppercut,23436.4979,0.059826,0.569718,0.450073,-3.210511,3.348763,-4.071274
session_20260414_152212_047,uppercut,23436.5178,0.264270,0.700922,0.501811,-2.404066,3.096221,-3.843283
session_20260414_152212_047,uppercut,23436.5377,0.368568,0.766518,0.579446,-1.675211,2.601568,-3.601267
session_20260414_152212_047,uppercut,23436.5576,0.450077,0.854907,0.700409,-0.991180,2.046207,-3.318424
session_20260414_152212_047,uppercut,23436.5775,0.556315,0.867263,0.795825,-0.492643,1.418573,-2.965394
session_20260414_152212_047,uppercut,23436.5973,0.700339,0.868962,0.956883,0.147617,0.661307,-2.452265
session_20260414_152212_047,uppercut,23436.6172,0.791574,0.993444,1.094584,0.673653,-0.152285,-1.665677
session_20260414_152212_047,uppercut,23436.6371,0.814467,1.058807,1.140966,0.890102,-0.951483,-0.797465
session_20260414_152212_047,uppercut,23436.6570,0.916612,1.107292,1.232529,0.934947,-1.839241,0.294050
session_20260414_152212_047,uppercut,23436.6769,0.885134,1.206664,1.302647,0.991775,-2.660499,1.435412
session_20260414_152212_047,uppercut,23436.6968,0.776803,1.340168,1.326418,1.206553,-3.379524,2.622776
session_20260414_152212_047,uppercut,23436.7167,0.633385,1.429135,1.398813,1.068003,-4.119594,3.671168
session_20260414_152212_047,uppercut,23436.7366,0.399764,1.493219,1.583680,0.676591,-4.927331,4.638725
session_20260414_152212_047,uppercut,23436.7565,-0.010251,1.784787,1.812937,0.305858,-5.831152,5.493363
session_20260414_152212_047,uppercut,23436.7764,-0.499892,2.178526,1.967410,0.388668,-6.619711,6.292000
session_20260414_152212_047,uppercut,23436.7963,-1.066021,2.457789,1.889108,0.944900,-7.075545,7.189881
session_20260414_152212_047,uppercut,23436.8162,-1.695326,2.533041,1.715859,1.870821,-7.060299,7.940205
session_20260414_152212_047,uppercut,23436.8361,-2.271284,2.167157,1.591617,2.143162,-6.443197,8.225680
session_20260414_152212_047,uppercut,23436.8560,-2.762252,1.504505,1.207985,1.698357,-5.225777,7.837143
session_20260414_152212_047,uppercut,23436.8758,-2.967398,0.733040,0.861906,0.785279,-4.096659,6.713393
session_20260414_152212_047,uppercut,23436.8957,-2.865672,-0.093595,0.590298,-0.464370,-3.404632,5.105171
session_20260414_152212_047,uppercut,23436.9156,-2.655442,-0.540363,0.169130,-0.688787,-2.855787,3.607350
session_20260414_152212_047,uppercut,23436.9355,-2.538195,-0.657576,-0.199047,0.336125,-2.047316,2.121134
session_20260414_152212_047,uppercut,23436.9554,-2.407124,-0.871714,-0.379842,1.138246,-1.129774,0.832244
session_20260414_152212_047,uppercut,23436.9753,-2.012908,-0.923155,-0.260568,0.757082,-0.540243,-0.064833
session_20260414_152212_047,uppercut,23436.9952,-1.640342,-0.756650,-0.226365,0.361902,-0.114443,-0.752739
